       Channel  Importance
0    Channel 21    0.100785
1    Channel 17    0.065492
2    Channel 13    0.065322
3    Channel 27    0.064040
4     Channel 1    0.056916
5    Channel 19    0.044422
6    Channel 23    0.035157
7    Channel 35    0.034737
8    Channel 39    0.020514
9    Channel 25    0.018632
10    Channel 7    0.018368
11    Channel 3    0.018301
12   Channel 41    0.018029
13   Channel 55    0.017883
14   Channel 10    0.016410
15   Channel 31    0.014648
16   Channel 11    0.014252
17   Channel 40    0.012716
18   Channel 24    0.012060
19    Channel 5    0.011331
20   Channel 29    0.010295
21  Channel 106    0.009581
22  Channel 133    0.009243
23   Channel 33    0.008625
24   Channel 63    0.008411
25   Channel 32    0.008125
26  Channel 156    0.008087
27  Channel 101    0.008025
28  Channel 153    0.007970
29   Channel 15    0.007065
       Channel  Importance
0    Channel 13    0.066964
1    Channel 21    0.064830
2    Channel 27    0.062601
3    Channel 17    0.056633
4     Channel 1    0.050334
5    Channel 23    0.039165
6    Channel 35    0.035556
7     Channel 3    0.029103
8    Channel 25    0.026689
9    Channel 19    0.026654
10   Channel 11    0.025581
11    Channel 7    0.020993
12   Channel 37    0.019665
13   Channel 10    0.017209
14   Channel 40    0.017181
15   Channel 38    0.016988
16   Channel 39    0.015356
17   Channel 31    0.013402
18  Channel 156    0.011708
19   Channel 29    0.011515
20  Channel 135    0.011321
21  Channel 153    0.010640
22   Channel 24    0.010404
23   Channel 16    0.009893
24  Channel 106    0.009717
25    Channel 5    0.009626
26   Channel 15    0.008993
27    Channel 6    0.008431
28   Channel 55    0.008224
29   Channel 34    0.006954
       Channel  Importance
0    Channel 21    0.092969
1    Channel 13    0.063833
2    Channel 17    0.062468
3    Channel 27    0.047330
4     Channel 1    0.042034
5    Channel 19    0.036052
6    Channel 23    0.035396
7    Channel 40    0.031655
8     Channel 7    0.025483
9    Channel 39    0.024079
10   Channel 11    0.022258
11    Channel 3    0.020977
12   Channel 10    0.020641
13   Channel 25    0.018753
14   Channel 35    0.017125
15   Channel 31    0.016381
16   Channel 41    0.016071
17  Channel 160    0.014931
18   Channel 37    0.014838
19   Channel 55    0.013504
20   Channel 28    0.013328
21   Channel 24    0.011768
22  Channel 153    0.011044
23   Channel 29    0.010422
24   Channel 36    0.010393
25  Channel 133    0.009388
26  Channel 188    0.008985
27    Channel 5    0.008483
28    Channel 6    0.008255
29   Channel 32    0.008103
       Channel  Importance
0    Channel 27    0.078346
1    Channel 21    0.064748
2    Channel 23    0.060054
3     Channel 1    0.053275
4    Channel 17    0.049445
5    Channel 13    0.045717
6     Channel 3    0.037697
7    Channel 35    0.034475
8    Channel 19    0.029164
9    Channel 25    0.025205
10    Channel 7    0.023153
11   Channel 31    0.021039
12   Channel 40    0.018635
13   Channel 10    0.017168
14   Channel 16    0.015279
15   Channel 11    0.015079
16  Channel 106    0.013022
17    Channel 5    0.011770
18    Channel 9    0.010304
19    Channel 8    0.009688
20   Channel 36    0.009351
21   Channel 33    0.009292
22   Channel 37    0.009284
23  Channel 153    0.008938
24    Channel 4    0.008774
25   Channel 74    0.008655
26   Channel 41    0.008270
27   Channel 24    0.008120
28   Channel 29    0.006934
29   Channel 14    0.006514
       Channel  Importance
0    Channel 21    0.087853
1    Channel 17    0.055593
2    Channel 27    0.049143
3    Channel 23    0.047837
4     Channel 1    0.047072
5    Channel 35    0.038728
6    Channel 19    0.036181
7    Channel 13    0.035702
8     Channel 3    0.030305
9    Channel 16    0.029468
10    Channel 7    0.023677
11   Channel 40    0.021313
12   Channel 11    0.020182
13   Channel 55    0.019752
14   Channel 25    0.018536
15   Channel 31    0.017513
16    Channel 5    0.017143
17   Channel 10    0.015253
18   Channel 29    0.014215
19   Channel 37    0.013871
20  Channel 135    0.012212
21   Channel 39    0.011071
22   Channel 33    0.010871
23  Channel 159    0.010823
24  Channel 153    0.010058
25   Channel 83    0.009024
26  Channel 189    0.007998
27   Channel 24    0.007640
28   Channel 63    0.007427
29   Channel 38    0.007375
       Channel  Importance
0    Channel 21    0.111454
1    Channel 13    0.076477
2    Channel 17    0.062441
3    Channel 27    0.061569
4    Channel 19    0.041445
5     Channel 1    0.036518
6    Channel 23    0.026844
7    Channel 10    0.025316
8    Channel 25    0.023706
9    Channel 35    0.023640
10    Channel 7    0.023585
11   Channel 37    0.021194
12   Channel 40    0.019750
13    Channel 3    0.019525
14  Channel 133    0.018929
