StartTime,EndTime,Type,Duration,PairStatus
11:27:41,11:28:19,1,38.0,Paired
11:28:19,11:28:47,1,28.0,Paired
11:28:47,11:29:18,1,31.0,Paired
11:29:18,11:29:40,1,22.0,Paired
11:29:40,11:30:27,1,47.0,Paired
11:30:27,11:30:52,1,25.0,Paired
11:30:52,11:31:23,1,31.0,Paired
11:31:23,11:32:03,1,40.0,Paired
11:32:03,11:32:41,1,38.0,Paired
11:32:41,11:33:22,1,41.0,Paired
11:33:22,11:33:48,1,26.0,Paired
11:33:49,11:34:22,1,33.0,Paired
11:34:22,11:34:54,1,32.0,Paired
11:34:54,11:35:20,1,26.0,Paired
11:35:20,11:35:51,1,31.0,Paired
11:35:51,11:36:15,1,24.0,Paired
11:36:15,11:36:45,1,30.0,Paired
11:36:45,11:37:06,1,21.0,Paired
11:37:06,11:37:44,1,38.0,Paired
11:40:34,11:41:10,2,36.0,Paired
11:41:10,11:41:41,2,31.0,Paired
11:41:41,11:42:13,2,32.0,Paired
11:42:13,11:42:34,2,21.0,Paired
11:42:34,11:43:03,2,29.0,Paired
11:43:03,11:43:31,2,28.0,Paired
11:43:31,11:44:00,2,29.0,Paired
11:44:00,11:44:34,2,34.0,Paired
11:44:34,11:44:55,2,21.0,Paired
11:44:55,11:45:27,2,32.0,Paired
11:45:27,11:45:56,2,29.0,Paired
11:45:56,11:46:17,2,21.0,Paired
11:46:17,11:46:36,2,19.0,Paired
11:46:36,11:47:02,2,26.0,Paired
11:47:02,11:47:28,2,26.0,Paired
11:47:28,11:47:53,2,25.0,Paired
11:47:53,11:48:16,2,23.0,Paired
11:48:16,11:48:53,2,37.0,Paired
11:51:16,11:51:41,3,25.0,Paired
11:51:41,11:52:04,3,23.0,Paired
11:52:04,11:52:24,3,20.0,Paired
11:52:24,11:52:48,3,24.0,Paired
11:52:48,11:53:09,3,21.0,Paired
11:53:09,11:53:30,3,21.0,Paired
11:53:31,11:53:55,3,24.0,Paired
11:53:56,11:54:18,3,22.0,Paired
11:54:18,11:54:50,3,32.0,Paired
11:54:50,11:55:21,3,31.0,Paired
11:55:21,11:55:52,3,31.0,Paired
11:55:52,11:56:21,3,29.0,Paired
11:56:21,11:56:43,3,22.0,Paired
11:56:43,11:57:10,3,27.0,Paired
11:57:10,11:57:32,3,22.0,Paired
11:57:32,11:57:59,3,27.0,Paired
11:57:59,11:58:22,3,23.0,Paired
11:58:22,11:58:45,3,23.0,Paired
12:01:04,12:01:32,4,28.0,Paired
12:01:33,12:02:06,4,33.0,Paired
12:02:06,12:02:33,4,27.0,Paired
12:02:33,12:02:56,4,23.0,Paired
12:02:56,12:03:20,4,24.0,Paired
12:03:20,12:03:43,4,23.0,Paired
12:03:43,12:04:16,4,33.0,Paired
12:04:16,12:04:38,4,22.0,Paired
12:04:38,12:04:58,4,20.0,Paired
12:04:58,12:05:18,4,20.0,Paired
12:05:18,12:05:49,4,31.0,Paired
12:05:49,12:06:11,4,22.0,Paired
12:06:11,12:06:41,4,30.0,Paired
12:06:41,12:07:03,4,22.0,Paired
12:07:03,12:07:41,4,38.0,Paired
12:07:41,12:08:00,4,19.0,Paired
12:08:00,12:08:17,4,17.0,Paired
12:08:17,12:08:39,4,22.0,Paired
12:08:39,12:08:58,4,19.0,Paired
12:11:29,12:11:54,7,25.0,Paired
12:11:54,12:12:42,7,48.0,Paired
12:12:42,12:13:13,7,31.0,Paired
12:13:13,12:13:47,7,34.0,Paired
12:13:47,12:14:20,7,33.0,Paired
12:14:20,12:14:48,7,28.0,Paired
12:14:48,12:15:11,7,23.0,Paired
12:15:12,12:15:42,7,30.0,Paired
12:15:42,12:16:07,7,25.0,Paired
12:16:07,12:16:38,7,31.0,Paired
12:16:38,12:17:04,7,26.0,Paired
12:17:04,12:17:31,7,27.0,Paired
12:17:31,12:18:04,7,33.0,Paired
12:18:04,12:18:28,7,24.0,Paired
12:18:28,12:18:53,7,25.0,Paired
12:18:53,12:19:24,7,31.0,Paired
12:19:24,12:19:44,7,20.0,Paired
12:19:44,12:20:11,7,27.0,Paired
12:20:12,12:20:40,7,28.0,Paired
12:22:26,12:22:26,0,0.0,Paired
12:22:26,12:22:26,0,0.0,Paired
12:22:26,,2,,No Pair
