StartTime to EndTime
09:27:17 to 09:27:43
09:27:43 to 09:28:29
09:28:29 to 09:29:12
09:29:12 to 09:29:42
09:29:42 to 09:30:10
09:30:10 to 09:30:46
09:30:46 to 09:31:27
09:31:27 to 09:32:08
09:32:08 to 09:32:43
09:32:43 to 09:33:08
09:33:08 to 09:33:59
09:33:59 to 09:34:16
09:34:16 to 09:34:57
09:34:57 to 09:35:28
09:35:28 to 09:36:10
09:36:10 to 09:36:30
09:36:30 to 09:37:02
09:37:02 to 09:37:44
09:40:46 to 09:41:23
09:41:23 to 09:41:58
09:41:58 to 09:42:36
09:42:36 to 09:43:35
09:43:35 to 09:43:55
09:43:55 to 09:44:26
09:44:26 to 09:45:09
09:45:09 to 09:45:41
09:45:41 to 09:46:20
09:46:20 to 09:47:06
09:47:06 to 09:47:34
09:47:34 to 09:48:20
09:48:20 to 09:48:44
09:48:44 to 09:49:09
09:49:09 to 09:49:54
09:49:54 to 09:50:12
09:50:12 to 09:50:56
09:50:56 to 09:51:24
13:15:02 to 13:15:42
13:15:42 to 13:16:26
13:16:26 to 13:17:04
13:17:04 to 13:18:01
13:18:01 to 13:18:55
13:18:55 to 13:19:43
13:19:43 to 13:20:37
13:20:37 to 13:21:13
13:21:13 to 13:22:02
13:22:02 to 13:22:58
13:22:58 to 13:23:46
13:23:46 to 13:24:33
13:24:33 to 13:25:27
13:25:27 to 13:25:50
13:25:50 to 13:26:38
13:26:38 to 13:27:01
13:27:01 to 13:27:52
13:27:52 to 13:28:32
13:32:41 to 13:33:12
13:33:12 to 13:33:45
13:33:45 to 13:34:28
13:34:29 to 13:35:37
13:35:37 to 13:36:16
13:36:16 to 13:36:52
13:36:52 to 13:37:44
13:37:44 to 13:38:24
13:38:24 to 13:39:18
13:39:18 to 13:40:10
13:40:10 to 13:40:59
13:40:59 to 13:41:39
13:41:39 to 13:42:09
13:42:09 to 13:42:47
13:42:47 to 13:43:14
13:43:14 to 13:43:43
13:43:43 to 13:44:22
13:44:22 to 13:44:54
13:44:54 to 13:45:22
13:48:16 to 13:48:40
13:48:40 to 13:49:08
13:49:08 to 13:49:31
13:49:31 to 13:50:00
13:50:00 to 13:50:18
13:50:18 to 13:50:44
13:50:44 to 13:51:08
13:51:08 to 13:51:31
13:51:31 to 13:52:30
13:52:30 to 13:52:53
13:52:53 to 13:53:22
13:53:22 to 13:53:40
13:53:40 to 13:53:56
13:53:56 to 13:54:31
13:54:31 to 13:55:03
13:55:03 to 13:55:21
13:55:21 to 13:55:45
13:55:45 to 13:56:17
13:58:54 to 13:59:27
13:59:27 to 13:59:56
13:59:56 to 14:00:20
14:00:20 to 14:00:49
14:00:49 to 14:01:20
14:01:20 to 14:01:48
14:01:48 to 14:02:14
14:02:14 to 14:02:31
14:02:31 to 14:02:56
14:02:56 to 14:03:36
14:03:36 to 14:04:01
14:04:01 to 14:04:26
14:04:26 to 14:04:52
14:04:52 to 14:05:16
14:05:16 to 14:05:36
14:05:36 to 14:05:58
14:05:58 to 14:06:16
14:06:16 to 14:06:37
14:06:37 to 14:06:58
14:09:32 to 14:09:56
14:09:56 to 14:10:12
14:10:13 to 14:10:31
14:10:31 to 14:10:54
14:10:54 to 14:11:23
14:11:23 to 14:11:38
14:11:39 to 14:12:04
14:12:04 to 14:12:25
14:12:25 to 14:12:49
14:12:49 to 14:13:10
14:13:10 to 14:13:27
14:13:27 to 14:13:47
14:13:47 to 14:14:11
14:14:11 to 14:14:30
14:14:30 to 14:14:50
14:14:50 to 14:15:11
14:15:11 to 14:15:32
14:15:32 to 14:15:56
14:15:56 to 14:16:12
18:43:54 to 18:44:24
18:44:24 to 18:44:48
18:44:48 to 18:45:09
18:45:09 to 18:45:40
18:45:40 to 18:46:06
18:46:06 to 18:46:27
18:46:27 to 18:46:55
18:46:55 to 18:47:23
18:47:23 to 18:47:48
18:47:48 to 18:48:06
18:48:06 to 18:48:26
18:48:26 to 18:48:47
18:48:47 to 18:49:04
18:49:04 to 18:49:25
18:49:25 to 18:49:42
18:49:42 to 18:49:59
18:49:59 to 18:50:20
18:50:20 to 18:50:37
18:50:37 to 18:50:54
18:54:20 to 18:54:41
18:54:41 to 18:54:58
18:54:58 to 18:55:39
18:55:39 to 18:56:08
18:56:08 to 18:56:53
18:56:53 to 18:57:21
18:57:21 to 18:57:52
18:57:52 to 18:58:13
18:58:13 to 18:58:35
18:58:35 to 18:59:00
18:59:00 to 18:59:40
18:59:40 to 19:00:15
19:00:15 to 19:00:34
19:00:34 to 19:01:02
19:01:02 to 19:01:24
19:01:24 to 19:01:43
19:01:43 to 19:02:05
19:02:05 to 19:02:30
19:02:30 to 19:02:47
19:06:30 to 19:06:54
19:06:54 to 19:07:18
19:07:18 to 19:07:38
19:07:38 to 19:07:59
19:07:59 to 19:08:26
19:08:26 to 19:08:47
19:08:47 to 19:09:09
19:09:09 to 19:09:35
19:09:35 to 19:10:00
19:10:00 to 19:10:35
19:10:35 to 19:11:00
19:11:00 to 19:11:18
19:11:18 to 19:11:45
19:11:45 to 19:12:15
19:12:15 to 19:12:43
19:12:43 to 19:13:05
19:13:05 to 19:13:35
19:13:35 to 19:14:00
19:16:14 to 19:16:39
19:16:39 to 19:17:07
19:17:08 to 19:17:27
19:17:27 to 19:17:47
19:17:47 to 19:18:21
19:18:21 to 19:18:40
19:18:40 to 19:19:02
19:19:02 to 19:19:26
19:19:26 to 19:19:45
19:19:45 to 19:20:09
19:20:09 to 19:20:28
19:20:29 to 19:20:51
19:20:51 to 19:21:17
19:21:17 to 19:21:42
19:21:42 to 19:22:17
19:22:17 to 19:22:40
19:22:40 to 19:23:08
19:23:08 to 19:23:30
19:25:22 to 19:25:57
19:25:57 to 19:26:16
19:26:16 to 19:26:39
19:26:39 to 19:26:58
19:26:58 to 19:27:19
19:27:19 to 19:27:43
19:27:43 to 19:28:21
19:28:21 to 19:28:43
19:28:43 to 19:28:59
19:28:59 to 19:29:16
19:29:16 to 19:29:34
19:29:34 to 19:30:00
19:30:00 to 19:30:19
19:30:19 to 19:30:44
19:30:44 to 19:31:08
19:31:08 to 19:31:28
19:31:28 to 19:31:47
19:31:47 to 19:32:04
19:32:04 to 19:32:24
18:17:47 to 18:18:11
18:18:11 to 18:18:41
18:18:41 to 18:19:07
18:19:07 to 18:20:03
18:20:03 to 18:20:51
18:20:51 to 18:21:27
18:21:27 to 18:22:27
18:22:27 to 18:23:07
18:23:07 to 18:23:50
18:23:50 to 18:24:22
18:24:22 to 18:25:10
18:25:10 to 18:25:38
18:25:38 to 18:26:09
18:26:09 to 18:27:04
18:27:04 to 18:27:38
18:27:38 to 18:28:08
18:28:08 to 18:28:37
18:28:37 to 18:29:15
18:33:27 to 18:34:31
18:34:31 to 18:35:35
