Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
4,image,yes,0.558570668,0.467068381,0.554333226,0.488994247,0.063396675,2548.358949,143221.8541,118063.513,8242.753805,34.25969617,0.627341071,0.348316071,0.647214286,1.028834821,0.640189919,0.075056903,-16.42053571,-90.83035714,99.81607143,6.42E-05,0.205860835,124.4748859,33.04761905,2093.333333,1,21.7906863,3,26.1611381,3,36.4856216,1,0,1.687488977
4,image,yes,0.515322675,0.522558903,0.517787619,0.570116792,0.069792601,513.7146589,143641.8313,118731.6953,8316.622416,34.46292086,0.622981542,0.357572204,0.645153094,1.041086957,0.649361446,0.066414414,-17.46688382,-91.10423453,99.29098806,6.45E-05,0.188744688,122.0323514,34.26315789,1934.736842,1,19.2102242,5,23.7623605,1,35.2931433,1,1,2.423085849
4,image,yes,0.498395777,0.435326971,0.494406931,0.479827325,0.074971973,-875.7862786,144093.5,119486.3804,8315.77204,34.57261667,0.619032622,0.361593476,0.646289837,0.999412798,0.641796482,0.061377135,-18.14303639,-91.30614806,98.84692597,7.03E-05,0.192039821,130.3087375,41.59090909,1480,2,22.0196907,5,25.6931004,1,30.3443843,0,1,3.157139919
4,image,yes,0.474475881,0.492636148,0.475652812,0.527031489,0.079598562,-1962.127975,144461.0518,119995.2647,8375.254676,34.65363981,0.617639885,0.363114778,0.646218077,1.029629842,0.634653179,0.075016591,-18.29985653,-91.27546628,98.86370158,6.84E-05,0.177419403,127.5272893,44.38888889,1553.333333,2,17.737678,3,20.1207882,1,27.2562777,1,0,2.252812331
4,image,yes,0.616893907,0.511630626,0.608426922,0.556833197,0.083704145,-2825.780296,144699.7403,120368.5149,8407.434328,34.71876733,0.616754464,0.363668155,0.646833333,1.030936012,0.631846498,0.074020093,-18.18005952,-91.34077381,99.03571429,8.03E-05,0.187096839,131.5620185,45.05555556,1424.444444,1,16.7421401,4,18.5746365,3,24.3282621,1,0,1.954548909
4,image,yes,0.446211309,0.464379092,0.449188199,0.504029931,0.087752369,-3596.720925,144869.6675,120638.5532,8451.227273,34.77194017,0.617488342,0.363853627,0.646208549,0.997343264,0.606756545,0.051190027,-18.03108808,-91.24870466,100.3393782,7.75E-05,0.207526839,128.4126237,45.66666667,1525.714286,1,21.6947817,5,23.0865873,2,28.1170331,1,1,3.468909531
4,image,yes,0.576040814,0.479589975,0.563626058,0.511277858,0.091786545,-4298.223167,145050.5799,121027.7369,8414.044295,34.83496444,0.619125837,0.361710843,0.645789826,1.029105756,0.640806711,0.089493017,-18.03882195,-91.14190094,100.107095,7.84E-05,0.189655138,120.5417813,36.125,1810,2,18.8473343,4,20.0907766,1,29.4694475,1,0,1.892969449
4,image,yes,0.619843239,0.53806753,0.632203215,0.592345543,0.095578324,-4903.282037,145298.6694,121403.336,8485.897849,34.89349778,0.619523427,0.362176707,0.645175368,1.028917001,0.619939597,0.082475387,-18.05756359,-91.09772423,99.97991968,6.76E-05,0.165656636,126.4714533,41.84210526,1570.526316,1,15.3694052,2,16.6488926,1,28.8002011,0,0,1.833732014
4,image,yes,0.479068333,0.509261218,0.484000829,0.55310161,0.098898897,-5395.602913,145512.0168,121543.3389,8482.389262,34.95398333,0.621489112,0.362586265,0.643286432,1.011474037,0.609856661,0.071404887,-18.51088777,-90.80569514,100.1222781,6.68E-05,0.179487192,129.5725528,46.83333333,1346.666667,2,20.6428569,4,21.5060612,1,23.0667479,0,1,4.062019202
4,image,yes,0.647143174,0.491268399,0.652289441,0.548741486,0.101969974,-5821.468295,145719.7583,121796.4878,8439.319424,34.9956872,0.630388809,0.365265423,0.632919656,1.041479885,0.601799133,0.083363363,-18.70157819,-90.40315638,99.76327116,7.29E-05,0.173333327,121.377981,43.4,1880,1,17.3885276,3,22.1312093,2,26.5781341,1,1,4.939635614
