StartTime,EndTime,Type,Duration,PairStatus,trust_binary
14:33:14,14:33:52,1,38.0,Paired,1
14:33:52,14:34:39,1,47.0,Paired,1
14:34:39,14:35:13,1,34.0,Paired,1
14:35:13,14:35:40,1,27.0,Paired,0
14:35:40,14:36:21,1,41.0,Paired,1
14:36:21,14:37:21,1,60.0,Paired,1
14:37:21,14:38:07,1,46.0,Paired,1
14:38:07,14:38:47,1,40.0,Paired,1
14:38:47,14:39:28,1,41.0,Paired,0
14:39:28,14:39:59,1,31.0,Paired,1
14:39:59,14:40:29,1,30.0,Paired,1
14:40:29,14:41:14,1,45.0,Paired,1
14:41:14,14:42:02,1,48.0,Paired,0
14:42:02,14:42:27,1,25.0,Paired,1
14:42:28,14:43:11,1,43.0,Paired,1
14:43:11,14:43:46,1,35.0,Paired,1
14:43:46,14:44:57,1,71.0,Paired,1
14:44:57,14:45:21,1,24.0,Paired,1
14:50:33,14:51:11,2,38.0,Paired,1
14:51:11,14:51:48,2,37.0,Paired,1
14:51:48,14:52:22,2,34.0,Paired,1
14:52:22,14:53:12,2,50.0,Paired,1
14:53:12,14:54:14,2,62.0,Paired,1
14:54:14,14:54:48,2,34.0,Paired,1
14:54:48,14:55:33,2,45.0,Paired,1
14:55:33,14:55:56,2,23.0,Paired,1
14:55:56,14:56:28,2,32.0,Paired,1
14:56:28,14:57:23,2,55.0,Paired,1
14:57:23,14:57:56,2,33.0,Paired,0
14:57:56,14:59:09,2,73.0,Paired,1
14:59:09,14:59:36,2,27.0,Paired,1
14:59:36,15:00:02,2,26.0,Paired,1
15:00:02,15:00:38,2,36.0,Paired,1
15:00:38,15:01:17,2,39.0,Paired,1
15:01:17,15:01:43,2,26.0,Paired,0
15:01:43,15:02:30,2,47.0,Paired,1
15:02:30,15:02:55,2,25.0,Paired,0
15:06:52,15:07:57,3,65.0,Paired,1
15:07:57,15:08:41,3,44.0,Paired,0
15:08:41,15:09:18,3,37.0,Paired,0
15:09:18,15:09:37,3,19.0,Paired,1
15:09:37,15:10:07,3,30.0,Paired,0
15:10:07,15:10:31,3,24.0,Paired,1
15:10:31,15:11:24,3,53.0,Paired,1
15:11:24,15:11:50,3,26.0,Paired,1
15:11:50,15:12:13,3,23.0,Paired,1
15:12:13,15:12:36,3,23.0,Paired,1
15:12:36,15:12:58,3,22.0,Paired,0
15:12:58,15:13:24,3,26.0,Paired,1
15:13:24,15:13:46,3,22.0,Paired,0
15:13:46,15:14:10,3,24.0,Paired,1
15:14:10,15:14:32,3,22.0,Paired,1
15:14:32,15:14:58,3,26.0,Paired,1
15:14:58,15:15:30,3,32.0,Paired,1
15:15:30,15:15:49,3,19.0,Paired,0
15:18:51,15:19:28,4,37.0,Paired,1
15:19:28,15:19:59,4,31.0,Paired,0
15:19:59,15:20:30,4,31.0,Paired,1
15:20:30,15:20:50,4,20.0,Paired,0
15:20:50,15:21:10,4,20.0,Paired,1
15:21:10,15:21:46,4,36.0,Paired,1
15:21:46,15:22:09,4,23.0,Paired,0
15:22:09,15:22:30,4,21.0,Paired,0
15:22:30,15:23:05,4,35.0,Paired,1
15:23:05,15:23:33,4,28.0,Paired,0
15:23:33,15:23:54,4,21.0,Paired,0
15:23:54,15:24:14,4,20.0,Paired,1
15:24:14,15:24:43,4,29.0,Paired,1
15:24:43,15:25:19,4,36.0,Paired,0
15:25:19,15:25:40,4,21.0,Paired,1
15:25:40,15:26:19,4,39.0,Paired,0
15:26:19,15:26:50,4,31.0,Paired,0
15:26:50,15:27:16,4,26.0,Paired,1
15:27:16,15:27:44,4,28.0,Paired,1
15:30:42,15:31:07,7,25.0,Paired,1
15:31:07,15:31:33,7,26.0,Paired,1
15:31:33,15:31:54,7,21.0,Paired,1
15:31:54,15:32:13,7,19.0,Paired,1
15:32:13,15:32:42,7,29.0,Paired,1
15:32:42,15:32:59,7,17.0,Paired,1
15:32:59,15:33:19,7,20.0,Paired,0
15:33:19,15:33:38,7,19.0,Paired,0
15:33:38,15:34:08,7,30.0,Paired,1
15:34:08,15:34:32,7,24.0,Paired,0
15:34:32,15:34:57,7,25.0,Paired,1
15:34:57,15:35:17,7,20.0,Paired,1
15:35:17,15:35:36,7,19.0,Paired,1
15:35:36,15:35:58,7,22.0,Paired,0
15:35:58,15:36:25,7,27.0,Paired,0
15:36:25,15:36:42,7,17.0,Paired,1
15:36:43,15:37:04,7,21.0,Paired,0
15:37:04,15:37:25,7,21.0,Paired,1
15:37:26,15:37:51,7,25.0,Paired,1
