StartTime,EndTime,Type,Duration,PairStatus
14:17:38,14:18:45,1,67.0,Paired
14:18:45,14:19:59,1,74.0,Paired
14:19:59,14:21:01,1,62.0,Paired
14:21:01,14:21:58,1,57.0,Paired
14:21:58,14:22:45,1,47.0,Paired
14:22:45,14:23:20,1,35.0,Paired
14:23:20,14:23:46,1,26.0,Paired
14:23:47,14:24:32,1,45.0,Paired
14:24:32,14:25:16,1,44.0,Paired
14:25:16,14:25:47,1,31.0,Paired
14:25:47,14:26:11,1,24.0,Paired
14:26:11,14:26:52,1,41.0,Paired
14:26:52,14:27:33,1,41.0,Paired
14:27:33,14:28:12,1,39.0,Paired
14:28:12,14:28:42,1,30.0,Paired
14:28:42,14:29:09,1,27.0,Paired
14:29:09,14:29:46,1,37.0,Paired
14:29:46,14:30:41,1,55.0,Paired
14:30:41,14:31:10,1,29.0,Paired
14:34:45,14:35:18,2,33.0,Paired
14:35:18,14:36:01,2,43.0,Paired
14:36:01,14:36:28,2,27.0,Paired
14:36:28,14:36:57,2,29.0,Paired
14:36:57,14:37:21,2,24.0,Paired
14:37:21,14:37:54,2,33.0,Paired
14:37:54,14:38:50,2,56.0,Paired
14:38:50,14:39:44,2,54.0,Paired
14:39:44,14:40:05,2,21.0,Paired
14:40:05,14:40:38,2,33.0,Paired
14:40:38,14:41:07,2,29.0,Paired
14:41:07,14:41:36,2,29.0,Paired
14:41:36,14:42:02,2,26.0,Paired
14:42:02,14:42:31,2,29.0,Paired
14:42:31,14:43:10,2,39.0,Paired
14:43:10,14:43:38,2,28.0,Paired
14:43:38,14:44:13,2,35.0,Paired
14:44:13,14:44:49,2,36.0,Paired
14:47:47,14:48:15,3,28.0,Paired
14:48:15,14:48:37,3,22.0,Paired
14:48:37,14:49:03,3,26.0,Paired
14:49:03,14:49:38,3,35.0,Paired
14:49:38,14:50:03,3,25.0,Paired
14:50:03,14:50:32,3,29.0,Paired
14:50:32,14:51:07,3,35.0,Paired
14:51:07,14:51:28,3,21.0,Paired
14:51:28,14:51:46,3,18.0,Paired
14:51:46,14:52:11,3,25.0,Paired
14:52:11,14:52:40,3,29.0,Paired
14:52:40,14:53:03,3,23.0,Paired
14:53:03,14:53:22,3,19.0,Paired
14:53:22,14:53:41,3,19.0,Paired
14:53:41,14:53:58,3,17.0,Paired
14:53:58,14:54:17,3,19.0,Paired
14:54:17,14:54:46,3,29.0,Paired
14:54:46,14:55:04,3,18.0,Paired
14:56:53,14:57:17,4,24.0,Paired
14:57:17,14:57:39,4,22.0,Paired
14:57:39,14:57:59,4,20.0,Paired
14:57:59,14:58:22,4,23.0,Paired
14:58:22,14:58:49,4,27.0,Paired
14:58:49,14:59:24,4,35.0,Paired
14:59:24,14:59:46,4,22.0,Paired
14:59:46,15:00:06,4,20.0,Paired
15:00:06,15:00:24,4,18.0,Paired
15:00:25,15:00:41,4,16.0,Paired
15:00:41,15:00:59,4,18.0,Paired
15:00:59,15:01:19,4,20.0,Paired
15:01:19,15:01:41,4,22.0,Paired
15:01:41,15:01:58,4,17.0,Paired
15:01:58,15:02:16,4,18.0,Paired
15:02:16,15:02:33,4,17.0,Paired
15:02:33,15:02:52,4,19.0,Paired
15:02:52,15:03:08,4,16.0,Paired
15:03:08,15:03:26,4,18.0,Paired
15:05:11,15:05:29,8,18.0,Paired
15:05:29,15:05:45,8,16.0,Paired
15:05:45,15:06:06,8,21.0,Paired
15:06:06,15:06:24,8,18.0,Paired
15:06:24,15:06:40,8,16.0,Paired
15:06:40,15:06:55,8,15.0,Paired
15:06:55,15:07:25,8,30.0,Paired
15:07:25,15:07:42,8,17.0,Paired
15:07:42,15:08:04,8,22.0,Paired
15:08:04,15:08:26,8,22.0,Paired
15:08:26,15:08:49,8,23.0,Paired
15:08:49,15:09:10,8,21.0,Paired
15:09:10,15:09:32,8,22.0,Paired
15:09:32,15:09:53,8,21.0,Paired
15:09:54,15:10:15,8,21.0,Paired
15:10:15,15:10:36,8,21.0,Paired
15:10:36,15:10:57,8,21.0,Paired
15:10:57,15:11:20,8,23.0,Paired
15:11:20,15:11:38,8,18.0,Paired
15:13:15,15:13:15,0,0.0,Paired
15:13:15,15:13:15,0,0.0,Paired
15:13:16,,2,,No Pair
