Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
1,feature,no,0.465134862,0.441478856,0.457563763,0.443101517,0.039354106,16041.56542,157568.447,110055.3705,8479.566443,33.58815556,0.735736631,-0.164367647,0.626430481,1.053479947,0.705691275,0.093258856,33.93315508,-98.45320856,122.4131016,4.26e-05,0.215873016,103.9958253,0.0,0.0,1.0,23.2875936,4.0,24.9948724,3.0,29.5226548,1.0,1.0,0.0
1,feature,no,0.44661885,0.466138346,0.438240123,0.466943312,0.044259227,12107.93743,157910.2947,110550.8094,8472.717092,33.71623052,0.733244118,-0.165429412,0.629591176,1.052833333,0.693460784,0.096330964,33.95294118,-98.6,122.5813725,3.75e-05,0.186516933,121.6001789,0.0,0.0,1.0,30.2378237,5.0,35.7762034,2.0,39.5897589,0.0,0.0,0.0
1,feature,no,0.440091408,0.306508005,0.439903223,0.301749478,0.048304226,9426.945994,157915.8891,110747.4073,8481.856855,33.84286,0.73448996,-0.166921687,0.627698795,1.061624498,0.687923695,0.100968085,33.90963855,-98.4497992,122.6144578,3.42e-05,0.167407467,124.7592983,0.0,0.0,1.0,15.2937965,5.0,16.9954865,3.0,19.4467997,1.0,1.0,0.0
1,feature,no,0.460575826,0.551942522,0.455485821,0.551806828,0.052105688,7327.419791,157911.3905,110866.5496,8539.85124,33.96485324,0.734550978,-0.167683831,0.627314109,1.06276828,0.692230928,0.101292788,33.93202884,-98.4953656,122.6127703,4.27e-05,0.20888892,125.3516547,0.0,0.0,1.0,35.2662069,3.0,36.7490808,3.0,24.2271393,1.0,1.0,0.0
1,feature,no,0.471975614,0.52645536,0.459770162,0.525665672,0.055989767,5449.381725,157816.4059,110920.0932,8528.09872,34.10854217,0.733158759,-0.168021898,0.629100365,1.063963504,0.695018248,0.098224907,33.92883212,-98.58394161,122.810219,4.51e-05,0.198639408,121.6087045,0.0,0.0,1.0,17.231668,3.0,18.6798152,2.0,21.8634615,1.0,0.0,0.0
1,feature,no,0.400480825,0.479684831,0.386752016,0.480436352,0.059072074,4147.06632,157843.5655,111010.1482,8552.188489,34.21316667,0.73261693,-0.16848637,0.629977044,1.061505022,0.689345768,0.096933036,33.82783357,-98.67001435,122.804878,4.42e-05,0.195402414,126.7018369,0.0,0.0,1.0,20.5200048,2.0,22.8607726,2.0,26.9081146,1.0,0.0,0.0
1,feature,no,0.504508354,0.540279608,0.493542539,0.542099575,0.062121006,2981.794557,157465.5476,110997.4744,8538.221612,34.33643636,0.732421533,-0.169012774,0.630156934,1.069067518,0.683390511,0.1,33.83029197,-98.63321168,122.8686131,4.16e-05,0.178231449,128.3309224,0.0,0.0,1.0,14.8768152,4.0,16.4494253,3.0,20.6738791,1.0,1.0,0.0
1,feature,no,0.429605105,0.45539267,0.414530116,0.472186609,0.06505349,1967.079104,157266.9209,110965.9333,8574.891473,34.40759694,0.732714065,-0.16924575,0.629885626,1.065812983,0.682139104,0.102547319,33.8438949,-98.58268934,122.8408037,4.16e-05,0.178205192,127.4116615,0.0,0.0,2.0,16.9805057,4.0,20.1694387,3.0,24.7085434,0.0,0.0,0.0
1,feature,no,0.489199159,0.498489088,0.479592231,0.503339588,0.068285969,949.2542773,157107.0576,111034.7554,8577.96259,34.51815714,0.73248924,-0.169249641,0.6303099,1.060725968,0.679262554,0.104023022,33.84361549,-98.61549498,122.76901,4.65e-05,0.189830492,122.1790429,20.0,137940.0,2.0,20.4576592,3.0,25.9849003,3.0,27.9631841,0.0,1.0,1.4142135623730951
1,feature,no,0.39476493,0.41480288,0.379685064,0.422265875,0.071333936,71.81488436,156987.8319,111078.0683,8612.269702,34.59463006,0.732132867,-0.169786713,0.630428322,1.062592657,0.673568182,0.100904594,33.79020979,-98.58741259,122.743007,4.25e-05,0.170909127,133.0654696,17.0,25720.0,1.0,16.0029728,3.0,19.1775742,3.0,22.0023566,1.0,0.0,0.0
1,feature,no,0.306235123,0.338702652,0.293339704,0.337196618,0.07440147,-735.5791052,157091.3212,111199.7431,8598.903023,34.66606639,0.731335006,-0.173102886,0.631250941,1.053904642,0.671870603,0.111130829,33.6825596,-98.65621079,123.1041405,4.63e-05,0.173913058,131.1103625,15.33333333,5346.666667,1.0,26.0266181,5.0,29.9844601,1.0,31.0860691,1.0,1.0,0.816496580927726
1,feature,no,0.412730182,0.484153398,0.401693191,0.480053368,0.077328603,-1449.401666,157010.033,111354.8901,8605.90293,34.74655488,0.731341241,-0.175562044,0.630483577,1.068160584,0.67475,0.103944134,33.55839416,-98.63868613,123.2682482,5.01e-05,0.206201628,128.4791273,15.5,5630.0,1.0,17.7474943,5.0,19.0410504,2.0,21.1483009,1.0,0.0,0.5773502691896257
1,feature,no,0.359687734,0.311705795,0.346554621,0.305620041,0.079794138,-2008.16596,156984.6039,111410.8148,8600.465378,34.79209574,0.731959872,-0.175439807,0.629513644,1.055691814,0.687672552,0.099172078,33.44783307,-98.62600321,123.2295345,5.25e-05,0.176923135,123.3008813,14.0,11160.0,1.0,20.3611723,3.0,22.1916214,2.0,24.4849216,0.0,0.0,0.0
