StartTime,EndTime,Type,Duration,PairStatus
18:42:05,18:42:05,0,0.0,Paired
18:42:06,18:42:06,0,0.0,Paired
18:43:54,18:44:24,4,30.0,Paired
18:44:24,18:44:48,4,24.0,Paired
18:44:48,18:45:09,4,21.0,Paired
18:45:09,18:45:40,4,31.0,Paired
18:45:40,18:46:06,4,26.0,Paired
18:46:06,18:46:27,4,21.0,Paired
18:46:27,18:46:55,4,28.0,Paired
18:46:55,18:47:23,4,28.0,Paired
18:47:23,18:47:48,4,25.0,Paired
18:47:48,18:48:06,4,18.0,Paired
18:48:06,18:48:26,4,20.0,Paired
18:48:26,18:48:47,4,21.0,Paired
18:48:47,18:49:04,4,17.0,Paired
18:49:04,18:49:25,4,21.0,Paired
18:49:25,18:49:42,4,17.0,Paired
18:49:42,18:49:59,4,17.0,Paired
18:49:59,18:50:20,4,21.0,Paired
18:50:20,18:50:37,4,17.0,Paired
18:50:37,18:50:54,4,17.0,Paired
18:54:20,18:54:41,5,21.0,Paired
18:54:41,18:54:58,5,17.0,Paired
18:54:58,18:55:39,5,41.0,Paired
18:55:39,18:56:08,5,29.0,Paired
18:56:08,18:56:53,5,45.0,Paired
18:56:53,18:57:21,5,28.0,Paired
18:57:21,18:57:52,5,31.0,Paired
18:57:52,18:58:13,5,21.0,Paired
18:58:13,18:58:35,5,22.0,Paired
18:58:35,18:59:00,5,25.0,Paired
18:59:00,18:59:40,5,40.0,Paired
18:59:40,19:00:15,5,35.0,Paired
19:00:15,19:00:34,5,19.0,Paired
19:00:34,19:01:02,5,28.0,Paired
19:01:02,19:01:24,5,22.0,Paired
19:01:24,19:01:43,5,19.0,Paired
19:01:43,19:02:05,5,22.0,Paired
19:02:05,19:02:30,5,25.0,Paired
19:02:30,19:02:47,5,17.0,Paired
19:06:30,19:06:54,6,24.0,Paired
19:06:54,19:07:18,6,24.0,Paired
19:07:18,19:07:38,6,20.0,Paired
19:07:38,19:07:59,6,21.0,Paired
19:07:59,19:08:26,6,27.0,Paired
19:08:26,19:08:47,6,21.0,Paired
19:08:47,19:09:09,6,22.0,Paired
19:09:09,19:09:35,6,26.0,Paired
19:09:35,19:10:00,6,25.0,Paired
19:10:00,19:10:35,6,35.0,Paired
19:10:35,19:11:00,6,25.0,Paired
19:11:00,19:11:18,6,18.0,Paired
19:11:18,19:11:45,6,27.0,Paired
19:11:45,19:12:15,6,30.0,Paired
19:12:15,19:12:43,6,28.0,Paired
19:12:43,19:13:05,6,22.0,Paired
19:13:05,19:13:35,6,30.0,Paired
19:13:35,19:14:00,6,25.0,Paired
19:16:14,19:16:39,7,25.0,Paired
19:16:39,19:17:07,7,28.0,Paired
19:17:08,19:17:27,7,19.0,Paired
19:17:27,19:17:47,7,20.0,Paired
19:17:47,19:18:21,7,34.0,Paired
19:18:21,19:18:40,7,19.0,Paired
19:18:40,19:19:02,7,22.0,Paired
19:19:02,19:19:26,7,24.0,Paired
19:19:26,19:19:45,7,19.0,Paired
19:19:45,19:20:09,7,24.0,Paired
19:20:09,19:20:28,7,19.0,Paired
19:20:29,19:20:51,7,22.0,Paired
19:20:51,19:21:17,7,26.0,Paired
19:21:17,19:21:42,7,25.0,Paired
19:21:42,19:22:17,7,35.0,Paired
19:22:17,19:22:40,7,23.0,Paired
19:22:40,19:23:08,7,28.0,Paired
19:23:08,19:23:30,7,22.0,Paired
19:25:22,19:25:57,8,35.0,Paired
19:25:57,19:26:16,8,19.0,Paired
19:26:16,19:26:39,8,23.0,Paired
19:26:39,19:26:58,8,19.0,Paired
19:26:58,19:27:19,8,21.0,Paired
19:27:19,19:27:43,8,24.0,Paired
19:27:43,19:28:21,8,38.0,Paired
19:28:21,19:28:43,8,22.0,Paired
19:28:43,19:28:59,8,16.0,Paired
19:28:59,19:29:16,8,17.0,Paired
19:29:16,19:29:34,8,18.0,Paired
19:29:34,19:30:00,8,26.0,Paired
19:30:00,19:30:19,8,19.0,Paired
19:30:19,19:30:44,8,25.0,Paired
19:30:44,19:31:08,8,24.0,Paired
19:31:08,19:31:28,8,20.0,Paired
19:31:28,19:31:47,8,19.0,Paired
19:31:47,19:32:04,8,17.0,Paired
19:32:04,19:32:24,8,20.0,Paired
19:35:22,,0,,No Pair
19:35:23,,5,,No Pair
