StartTime,EndTime,Type,Duration,PairStatus
11:01:09,11:01:36,1,27.0,Paired
11:01:36,11:01:59,1,23.0,Paired
11:01:59,11:02:24,1,25.0,Paired
11:02:24,11:02:44,1,20.0,Paired
11:02:44,11:03:09,1,25.0,Paired
11:03:09,11:03:29,1,20.0,Paired
11:03:29,11:03:50,1,21.0,Paired
11:03:50,11:04:18,1,28.0,Paired
11:04:18,11:04:43,1,25.0,Paired
11:04:43,11:05:04,1,21.0,Paired
11:05:04,11:05:25,1,21.0,Paired
11:05:25,11:05:43,1,18.0,Paired
11:05:43,11:06:03,1,20.0,Paired
11:06:03,11:06:26,1,23.0,Paired
11:06:26,11:06:46,1,20.0,Paired
11:06:46,11:07:07,1,21.0,Paired
11:07:07,11:07:32,1,25.0,Paired
11:07:32,11:07:55,1,23.0,Paired
11:10:28,11:11:02,2,34.0,Paired
11:11:02,11:11:36,2,34.0,Paired
11:11:36,11:12:07,2,31.0,Paired
11:12:07,11:12:42,2,35.0,Paired
11:12:42,11:13:13,2,31.0,Paired
11:13:14,11:13:37,2,23.0,Paired
11:13:37,11:14:01,2,24.0,Paired
11:14:01,11:14:32,2,31.0,Paired
11:14:32,11:14:52,2,20.0,Paired
11:14:52,11:15:18,2,26.0,Paired
11:15:18,11:15:40,2,22.0,Paired
11:15:40,11:16:10,2,30.0,Paired
11:16:10,11:16:35,2,25.0,Paired
11:16:35,11:16:54,2,19.0,Paired
11:16:54,11:17:21,2,27.0,Paired
11:17:21,11:17:50,2,29.0,Paired
11:17:50,11:18:17,2,27.0,Paired
11:18:17,11:18:41,2,24.0,Paired
11:18:41,11:19:01,2,20.0,Paired
11:21:04,11:21:30,3,26.0,Paired
11:21:30,11:21:53,3,23.0,Paired
11:21:53,11:22:17,3,24.0,Paired
11:22:17,11:22:36,3,19.0,Paired
11:22:36,11:22:59,3,23.0,Paired
11:22:59,11:23:20,3,21.0,Paired
11:23:20,11:23:42,3,22.0,Paired
11:23:42,11:24:11,3,29.0,Paired
11:24:11,11:24:32,3,21.0,Paired
11:24:32,11:24:53,3,21.0,Paired
11:24:53,11:25:15,3,22.0,Paired
11:25:15,11:25:34,3,19.0,Paired
11:25:34,11:25:55,3,21.0,Paired
11:25:55,11:26:18,3,23.0,Paired
11:26:18,11:26:37,3,19.0,Paired
11:26:37,11:27:06,3,29.0,Paired
11:27:06,11:27:27,3,21.0,Paired
11:27:27,11:27:45,3,18.0,Paired
11:27:45,11:28:04,3,19.0,Paired
11:29:49,11:30:20,4,31.0,Paired
11:30:20,11:30:51,4,31.0,Paired
11:30:51,11:31:12,4,21.0,Paired
11:31:12,11:31:31,4,19.0,Paired
11:31:31,11:31:54,4,23.0,Paired
11:31:54,11:32:18,4,24.0,Paired
11:32:18,11:32:37,4,19.0,Paired
11:32:37,11:33:02,4,25.0,Paired
11:33:02,11:33:26,4,24.0,Paired
11:33:26,11:33:45,4,19.0,Paired
11:33:45,11:34:03,4,18.0,Paired
11:34:03,11:34:33,4,30.0,Paired
11:34:33,11:34:56,4,23.0,Paired
11:34:56,11:35:29,4,33.0,Paired
11:35:29,11:35:51,4,22.0,Paired
11:35:51,11:36:14,4,23.0,Paired
11:36:14,11:36:34,4,20.0,Paired
11:36:34,11:36:54,4,20.0,Paired
11:38:38,,7,,No Pair
11:38:38,,1,,No Pair
