Time difference between last entry of timestamp file and 0th position timestamps
file, time_difference
001, 0:00:40, 40 seconds
002, 0:03:19, 199 seconds
003, 0:05:22, 322 seconds
004, 0:04:03, 243 seconds
005, 1:06:10, 3970 seconds
006, 0:06:15, 375 seconds
007, 0:00:20, 20 seconds
008, 0:30:12, 1812 seconds
010, 0:00:42, 42 seconds
011, 0:00:32, 32 seconds
012, 0:00:16, 16 seconds
013, 0:00:21, 21 seconds
014, 0:01:28, 88 seconds
015, 0:00:15, 15 seconds
016, 0:04:55, 295 seconds
017, 0:01:29, 89 seconds
018, 0:00:22, 22 seconds
