Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?,HRVar
1,feature,no,0.435718888,0.314156108,0.391423196,0.335798954,0.030414394,26455.67324,145955.1601,111784.7366,7910.290289,33.29318089,-0.015886458,0.175735324,0.972759011,1.490721936,0.584016478,-0.795516816,4.359423275,-121.1369722,94.70030896,0.0,0.0,0.0,26.0,1820.0,1.0,34.9310702,4.0,36.9834517,3.0,38.1929453,1.0,1.0,1.4142135623730951
1,feature,no,0.453804542,0.465713048,0.417041864,0.514042422,0.030413396,26457.33158,146116.6242,111981.0593,7900.724832,33.40199262,-0.017408482,0.185608259,0.971739955,1.07366183,0.695399554,0.105504854,3.71875,-120.6127232,94.52008929,0.0,0.0,0.0,24.0,45120.0,1.0,28.2970684,4.0,31.9268846,1.0,34.822882,0.0,0.0,0.0
1,feature,no,0.368289008,0.296579285,0.342599131,0.339274278,0.030412732,26458.21507,146223.2956,112201.6898,7923.421053,33.48205185,-0.01803125,0.185803571,0.971657366,1.072575893,0.694103795,0.1056,3.684151786,-120.6417411,94.46205357,0.0,0.0,0.0,0.0,0.0,1.0,32.1681543,4.0,33.0527516,3.0,34.7145102,1.0,1.0,0.0
1,feature,no,0.48199857,0.399451184,0.451071569,0.446686229,0.030413137,26457.50298,146443.5273,112362.8626,8005.650474,33.55050588,-0.018787485,0.185634002,0.97174026,1.076847698,0.692808511,0.105805161,3.635182999,-120.6304604,94.3553719,0.0,0.0,0.0,0.0,0.0,2.0,27.5288059,3.0,28.4760329,1.0,33.1829678,1.0,1.0,0.0
1,feature,no,0.464847873,0.357156072,0.413817751,0.399168698,0.030415495,26454.03735,146548.6139,112520.8114,7996.894892,33.60841748,-0.019078355,0.185828599,0.971703232,1.079858962,0.689735294,0.103643237,3.683643487,-120.6043095,94.37218413,0.0,0.0,0.0,21.0,106840.0,1.0,32.8635604,2.0,33.8086957,3.0,39.4212413,1.0,0.0,0.0
1,feature,no,0.353541623,0.308015064,0.315779379,0.339315812,0.030778372,25919.73425,146684.613,112770.8166,8006.272185,33.65956049,-0.020089286,0.18590625,0.971612351,1.078217262,0.692610863,0.106075286,3.777529762,-120.718006,94.34449405,1.86e-05,0.191794923,45.95180968,19.0,74280.0,2.0,50.3944129,2.0,51.6308455,3.0,53.4679506,1.0,0.0,0.0
1,feature,no,0.240512901,0.260356963,0.212803314,0.300625421,0.032314601,23756.06375,146786.6092,112999.6606,8027.630042,33.7043578,-0.021573407,0.18565374,0.971685596,1.080495845,0.690822715,0.101691131,3.692520776,-120.6606648,94.29778393,2.16e-05,0.174193581,102.178246,0.0,0.0,1.0,25.797792,3.0,26.596229,3.0,28.0444209,1.0,1.0,0.0
1,feature,no,0.276460792,0.308641818,0.231955497,0.273020871,0.033561375,22147.50701,146899.9208,113133.4081,8071.248322,33.74012,-0.021433735,0.186254351,0.971551539,1.07956091,0.684825971,0.100775714,3.676037483,-120.6974565,94.28514056,2.33e-05,0.18579241,114.7231055,0.0,0.0,2.0,26.747278,4.0,27.6224331,1.0,28.730776,0.0,0.0,0.0
1,feature,no,0.441754821,0.411582296,0.403152801,0.42335158,0.03482464,20634.95281,146966.8081,113344.5839,8080.555705,33.76711556,-0.021896921,0.186254351,0.971587684,1.081527443,0.690104558,0.101830435,3.771084337,-120.7777778,94.19812584,2.46e-05,0.193333317,118.6782258,0.0,0.0,1.0,27.97079,3.0,28.806109,1.0,29.6203668,0.0,1.0,0.0
1,feature,no,0.300718035,0.271743967,0.273220691,0.278181071,0.036321589,18981.89901,147113.3242,113511.0914,8128.831041,33.79810032,-0.022156863,0.186552941,0.971514706,1.076694118,0.68614902,0.106646872,3.656862745,-120.7813725,94.16176471,2.31e-05,0.163573887,130.6256105,0.0,0.0,1.0,29.4674884,4.0,30.7589019,2.0,39.5187125,1.0,0.0,0.0
1,feature,no,0.530886324,0.464810055,0.495216915,0.477441073,0.037704593,17564.3008,147242.0531,113674.7762,8174.89533,33.81970213,-0.022470305,0.186041734,0.971539326,1.075682183,0.68458748,0.104146597,3.595505618,-120.6757624,94.1894061,2.62e-05,0.174545527,135.1650987,0.0,0.0,2.0,22.0868511,4.0,22.6893142,1.0,23.7629812,1.0,1.0,0.0
1,feature,no,0.437744836,0.418407419,0.400566236,0.458710254,0.038736513,16575.59572,147264.2287,113783.3027,8122.967794,33.83230319,-0.023916399,0.186525723,0.971418006,1.075913183,0.682700965,0.105027304,3.610932476,-120.6398714,94.15594855,2.76e-05,0.197530981,131.1210947,0.0,0.0,1.0,19.1606438,4.0,19.7762758,3.0,24.1502837,1.0,0.0,0.0
1,feature,no,0.412396191,0.400174882,0.367649658,0.412020778,0.040012694,15425.77337,147352.1699,114005.3725,8175.627451,33.85568592,-0.023319957,0.186150759,0.971479393,1.077143167,0.680047722,0.106416862,3.587852495,-120.7201735,94.10629067,2.72e-05,0.195433795,126.4902694,15.66666667,74080.0,1.0,32.8498329,3.0,34.3770794,3.0,36.1648124,0.0,0.0,1.5275252316519468
1,feature,no,0.442388195,0.334495725,0.403523438,0.357885715,0.041394552,14257.00312,147506.5584,114150.4675,8236.980519,33.87379915,-0.022796368,0.186642023,0.971547341,1.045149157,0.615901427,0.101550964,3.680933852,-120.7198444,94.07522698,2.55e-05,0.177464831,124.3976892,0.0,0.0,1.0,25.6933703,2.0,27.2037744,3.0,29.5999256,0.0,1.0,0.0
1,feature,no,0.412848455,0.437230172,0.376408531,0.493015046,0.042671329,13245.85294,147560.6481,114282.372,8235.216825,33.85934902,-0.016868949,0.183798111,0.972136954,1.103072019,0.731628099,0.117137709,3.81227863,-120.5489965,94.15230224,2.78e-05,0.174074139,129.228766,13.0,15426.66667,2.0,22.5902978,3.0,23.7015928,3.0,32.520668,1.0,0.0,0.0
1,feature,no,0.377606216,0.274028417,0.343001873,0.29162632,0.043918703,12313.84346,147563.1866,114416.8456,8201.467114,33.87049333,-0.010263441,0.183176944,0.972079088,1.067148794,0.675569705,0.134886846,4.355227882,-120.9544236,94.15013405,2.61e-05,0.18222225,128.01836,11.0,46240.0,1.0,20.8908832,3.0,22.4673042,1.0,30.0477622,1.0,1.0,0.0
1,feature,no,0.434275662,0.374989042,0.400883809,0.380229825,0.045240174,11384.333,147695.244,114593.5599,8236.570806,33.8726295,-0.00917756,0.18360152,0.971964169,1.073901087,0.678059913,0.110795322,4.434310532,-120.9326819,94.15526602,3.17e-05,0.182857171,120.2866225,10.5,17780.0,2.0,31.6964847,3.0,32.5698668,3.0,35.8316014,1.0,0.0,0.7071067811865476
1,feature,no,0.505284591,0.2636294,0.46817351,0.266132365,0.046605202,10477.39505,147865.4832,114650.9235,8272.532886,33.89633628,-0.009555256,0.182270415,0.972269076,1.07265328,0.691912985,0.074862801,4.050870147,-120.3480589,94.23293173,2.85e-05,0.166137603,118.5970022,10.75,7150.0,2.0,25.302779,3.0,26.776997,1.0,29.5012794,0.0,1.0,1.2583057392117916
1,feature,no,0.586946125,0.377023407,0.563856338,0.445626033,0.050127352,8400.391562,148091.0364,115018.9066,8260.958322,34.02478261,-0.006563512,0.191000279,0.970275314,1.079924386,0.682847164,0.105274719,4.192747559,-120.4822873,94.27949791,3.26e-05,0.175906449,120.1707536,11.36363636,13389.09091,,,,,,,,,1.8586407545691703
2,text,no,0.567704586,0.445106458,0.530269514,0.472869487,0.054348435,6202.597426,148365.5038,115426.5593,8264.981003,34.1809799,0.001368371,0.192925758,0.969698485,1.076514026,0.683808801,0.108690747,4.115151515,-119.8681818,94.41363636,3.19e-05,0.154444517,124.6153874,11.0,9430.0,1.0,44.5414541,4.0,46.6745649,1.0,51.4119203,1.0,1.0,0.816496580927726
